course_code,course_title,program,year_level,term,course_type,units,hours_per_week
# BSCS Courses - Year 1,,,,,,,
CCINCOMX,INTRODUCTION TO COMPUTING - LEC,BSCS,1,1,Lecture,3,2.67
CCINCOBL,INTRODUCTION TO COMPUTING - LAB,BSCS,1,1,Lab,1,4
CCPRGG1X,FUNDAMENTALS OF PROGRAMMING - LEC,BSCS,1,1,Lecture,3,2.67
CCPRG1BL,FUNDAMENTALS OF PROGRAMMING - LAB,BSCS,1,1,Lab,1,4
CCDISTR1,DISCRETE STRUCTURES 1,BSCS,1,2,Lecture,3,2.67
CCDISTR1,DISCRETE STRUCTURES 1 Lab,BSCS,1,2,Lab,3,4
CCPRGG2X,INTERMEDIATE PROGRAMMING - LEC,BSCS,1,2,Lecture,3,2.67
CCPRG2BL,INTERMEDIATE PROGRAMMING - LAB,BSCS,1,2,Lab,3,4
CCDISTR2,DISCRETE STRUCTURES 2,BSCS,1,3,Lecture,2,2.67
CCDISTR2,DISCRETE STRUCTURES 2 Lab,BSCS,1,3,Lab,2,4
CCOBJPGL,OBJECT-ORIENTED PROGRAMMING,BSCS,1,3,Lab,3,4
CCOBJPGX,OBJECT-ORIENTED PROGRAMMING - LEC,BSCS,1,3,Lecture,3,2.67
# BSCS Courses - Year 2,,,,,,,
CTINFMGL,INFORMATION MANAGEMENT Lec,BSCS,2,1,Lecture,4,2.67
CTINFMGL,INFORMATION MANAGEMENT Lab,BSCS,2,1,Lab,4,4
CCDATRCL,DATA STRUCTURES AND ALGORITHMS Lecture,BSCS,2,1,Lecture,4,2.67
CCDATRCL,DATA STRUCTURES AND ALGORITHMS Lab,BSCS,2,1,Lab,4,4
CCSPEL1X,SPORTS ELECTIVE 1 ( E-GAMES DESIGN I ) Lecture,BSCS,2,1,Lecture,4,2
CCSPEL1X,SPORTS ELECTIVE 1 ( E-GAMES DESIGN I ) Lab,BSCS,2,1,Lab,4,1
CCOMPORL,COMPUTER ARCHITECTURE AND ORGANIZATION lecture,BSCS,2,2,Lecture,3,2.67
CCOMPORL,COMPUTER ARCHITECTURE AND ORGANIZATION Lab,BSCS,2,2,Lab,3,4
CCDATSYL,DATABASE SYSTEMS,BSCS,2,2,Lecture,2,2.67
CCDATSYL,DATABASE SYSTEMS,BSCS,2,2,Lab,2,4
CCSPEL2X,SPORTS ELECTIVE 2 ( E- GAMES DESIGN II ) Lecture,BSCS,2,2,Lecture,4,2
CCSPEL2X,SPORTS ELECTIVE 2 ( E- GAMES DESIGN II ) Lab,BSCS,2,2,Lab,4,2
CCQUAMET,QUANTITATIVE METHODS Lec,BSCS,2,3,Lecture,4,2.67
CCQUAMET,QUANTITATIVE METHODS Lab,BSCS,2,3,Lab,4,4
CCOPSYSL,OPERATING SYSTEMS Lec,BSCS,2,3,Lecture,4,2.67
CCOPSYSL,OPERATING SYSTEMS Lab,BSCS,2,3,Lab,4,4
# BSCS Courses - Year 3,,,,,,,
CCALCOML,ALGORITHMS AND COMPLEXITY,BSCS,3,1,Lecture,4,2.67
CCALCOML,ALGORITHMS AND COMPLEXITY,BSCS,3,1,Lab,4,4
CIWEBPRL,WEB PROGRAMMING,BSCS,3,1,Lecture,4,2.67
CIWEBPRL,WEB PROGRAMMING,BSCS,3,1,Lab,4,4
CCHUCOIL,HUMAN-COMPUTER INTERACTION,BSCS,3,1,Lecture,4,2.67
CCHUCOIL,HUMAN-COMPUTER INTERACTION,BSCS,3,1,Lab,4,4
CIMUCOGL,MULTIMEDIA AND COMPUTER GRAPHICS,BSCS,3,1,Lecture,3,2.67
CIMUCOGL,MULTIMEDIA AND COMPUTER GRAPHICS,BSCS,3,1,Lab,3,4
CCSFEN1L,SOFTWARE ENGINEERING 1,BSCS,3,2,Lecture,3,2.67
CCSFEN1L,SOFTWARE ENGINEERING 1,BSCS,3,2,Lab,3,4
CTINASSL,INFORMATION ASSURANCE AND SECURITY,BSCS,3,2,Lecture,4,2.67
CTINASSL,INFORMATION ASSURANCE AND SECURITY,BSCS,3,2,Lab,4,4
CCNETCOL,NETWORK AND COMMUNICATIONS,BSCS,3,2,Lecture,4,2.67
CCNETCOL,NETWORK AND COMMUNICATIONS,BSCS,3,2,Lab,4,4
CCAUTOMA,AUTOMATA THEORY AND FORMAL LANGUAGES,BSCS,3,3,Lecture,3,2.67
CCAUTOMA,AUTOMATA THEORY AND FORMAL LANGUAGES,BSCS,3,3,Lab,3,4
CTAPDEVL,APPLICATION DEVELOPMENT AND EMERGING TECHNOLOGY,BSCS,3,3,Lecture,3,2.67
CTAPDEVL,APPLICATION DEVELOPMENT AND EMERGING TECHNOLOGY,BSCS,3,3,Lab,3,4
CCSFEN2L,SOFTWARE ENGINEERING 2,BSCS,3,3,Lecture,3,2.67
CCSFEN2L,SOFTWARE ENGINEERING 2,BSCS,3,3,Lecture,3,4
# BSCS Courses - Year 4,,,,,,,
CCTHES1L,THESIS 1,BSCS,4,1,Lecture,3,2.67
CCTHES1L,THESIS 1,BSCS,4,1,Lab,3,4
CCPGLANL,PROGRAMMING LANGUAGES,BSCS,4,1,Lecture,3,2.67
CCPGLANL,PROGRAMMING LANGUAGES,BSCS,4,1,Lab,3,4
CCSELE1L,C.S. ELECTIVE 1,BSCS,4,1,Lecture,3,2.67
CCSELE1L,C.S. ELECTIVE 1,BSCS,4,1,Lab,3,4
CCCSINTX,INTERNSHIP (MIN. 162 HRS),BSCS,4,2,Lecture,3,4
CCSELE2L,C.S. ELECTIVE 2,BSCS,4,2,Lecture,3,2.67
CCSELE2L,C.S. ELECTIVE 2,BSCS,4,2,Lab,3,4
CCTHES2L,THESIS 2,BSCS,4,3,Lecture,3,2.67
CCTHES2L,THESIS 2,BSCS,4,3,Lab,3,4
CCSELE3L,C.S. ELECTIVE 3,BSCS,4,3,Lecture,6,2.67
CCSELE3L,C.S. ELECTIVE 3,BSCS,4,3,Lab,6,4
CTPRFISS,SOCIAL AND PROFESSIONAL ISSUES,BSCS,4,3,Lecture,3,4
# BSIT Courses - Year 1,,,,,,,
INTCOMC,INTRODUCTION TO COMPUTING FOR CS / IT,BSIT,1,1,Lecture,3,2
INTCOMC,INTRODUCTION TO COMPUTING FOR CS / IT,BSIT,1,1,Lab,3,2
PROGCON,Programming Concepts and Logic,BSIT,1,1,Lecture,4,2
PROGCON,Programming Concepts and Logic,BSIT,1,1,Lab,4,2
COMPORG,COMPUTER ORGANIZATION &amp; ARCHITECTURE,BSIT,1,1,Lecture,3,2
COMPORG,COMPUTER ORGANIZATION &amp; ARCHITECTURE,BSIT,1,1,Lab,3,2
INPROLA,INTRODUCTION TO PROGRAMMING &amp; THEORIES,BSIT,1,2,Lecture,3,2
INPROLA,INTRODUCTION TO PROGRAMMING &amp; THEORIES,BSIT,1,2,Lab,3,2
MANPRIN,MANAGEMENT PRINCIPLES,BSIT,1,2,Lecture,3,2
OPESYST,OPERATING SYSTEMS,BSIT,1,2,Lecture,3,2
OPESYST,OPERATING SYSTEMS,BSIT,1,2,Lab,3,2
DASTRUC,DATA STRUCTURES,BSIT,1,3,Lecture,2,2
